product_id,product_name,category,brand,supplier_name,price,color,size,release_date,description,stock_quantity,discount,created_at,updated_at
3778,Life President,Beauty,Hall-Mccarty,Johnson-Johnson,869.03,Blue,Medium,2024-01-18,Follow suggest item unit poor. Dog true film quality. Shoulder in word grow cup.,345,0.43,2025-02-07,2025-02-03
9871,Bring Woman,Home,Baldwin PLC,Rodriguez Inc,697.09,Green,One size,2021-11-05,Alone left through support future theory. Election lose like beyond general maybe true system.,318,0.42,2025-02-08,2025-02-18
3441,Door Side,Home,"Taylor, Gutierrez and Mahoney",Singh LLC,495.1,White,One size,2024-03-15,Test sit opportunity eight everyone account ball. Up theory back be message soon American.,37,0.4,2025-02-24,2025-01-24
2457,Standard Son,Home,Wood and Sons,Flynn-Young,538.29,White,X-Large,2020-02-15,Area painting behavior rest parent animal life street. By drive less might be work my.,131,0.39,2025-01-06,2025-01-25
5271,Hard Spend,Toys,Parsons-Harvey,"Richmond, Pope and Gordon",526.68,Black,Medium,2022-06-22,Left rise mind score sing TV attorney. Those training home expect perhaps first. Some smile agree.,114,0.04,2025-01-26,2025-03-03
1329,Week Heart,Beauty,Thompson Ltd,Chandler-Morales,445.77,Blue,One size,2021-02-11,Short can capital which sister physical. Blue argue continue upon.,85,0.41,2025-02-26,2025-01-12
7497,Realize Story,Toys,Floyd-Nguyen,Burke-Brown,476.57,Red,X-Large,2022-01-03,Citizen rule I. Light use budget low kind staff. Your either art man organization good public oil.,185,0.49,2025-01-09,2025-01-08
4582,Way Let,Home,"Graves, Brown and Jones","Johnson, Brown and Banks",666.77,Black,X-Large,2024-02-09,Perhaps they dinner.,317,0.41,2025-01-02,2025-01-09
1326,Purpose Simply,Beauty,Thomas Group,Jackson and Sons,367.18,Yellow,Small,2023-04-27,Size past out score. Street really especially wait father. They time price lot especially be.,335,0.13,2025-02-27,2025-01-25
9460,Manager Sound,Electronics,Bowers Group,Price-Merritt,600.51,White,Large,2022-03-06,Unit room left discussion music special continue. Difficult white surface may art quality.,248,0.43,2025-02-20,2025-02-02
3401,Huge Picture,Electronics,Johnson PLC,Martinez Ltd,653.25,Red,One size,2021-10-17,Poor will indicate discuss enjoy manage agent. Campaign senior indicate some.,207,0.47,2025-02-13,2025-02-26
5287,Second Rise,Electronics,Morales-Chung,Barber and Sons,294.27,White,Large,2022-03-20,Teach watch leg. Thank force about similar.,203,0.3,2025-01-22,2025-01-22
4679,Pm Happy,Electronics,Coleman-Gaines,"Harrison, Morgan and Alvarez",273.3,White,Small,2022-11-13,Fight prove hospital middle view expert above. Themselves security gas law walk. Box could window.,75,0.34,2025-02-10,2025-01-23
9813,Center Third,Home,Allen Group,"Chen, Torres and Smith",275.14,Blue,One size,2021-06-20,Despite computer participant room bill. Effect also bad. Reach clear hope.,239,0.06,2025-02-11,2025-01-13
4468,Make Public,Beauty,Allen PLC,Adams-Brock,631.59,Yellow,X-Large,2020-01-04,Seat summer those like fish commercial black ten. Best kid debate identify move.,100,0.41,2025-01-20,2025-01-20
1595,Food Expect,Sports,Henderson Ltd,Mata-Stein,669.16,Red,X-Large,2021-07-02,Near resource wait street leader money quite.,496,0.04,2025-02-06,2025-02-07
3937,Watch Although,Beauty,Keith Inc,Molina-Phillips,286.52,Green,Large,2020-03-13,First college almost. Teach risk art face happy spend just.,195,0.39,2025-01-02,2025-01-13
